,rating,teks_setelah_prep
181,1,kirim medan pakai packing kayu coba untung televisi pakai saran ambil resiko jabodetabek ngeri euy
182,1,barang lambat estimasi itu hubung lalai live chat barang kemas rapi box kayu bubble wrap tapiiiii coba nyala televisi nyala lampu indikator merah hijau tunggu detik detik detik puluh detik menyalaon televisi rusak sediih servis garansi samarinda bontang jam jalan samarinda apa kali coba beli televisi lazada kali barang refund dana kembali kali barang yaaa
183,1,barng rusak rumah layar pecah akibat packing kayu lengkung tolong brng sudh dikemblikan respon tolong mengecewaka
184,1,pesan tanggal desember barang kupang ntt januari parah beli inc dayang minggu beli parah banget syukur barang aman kupang kasih bintang terimakasih
185,1,televisi terima bayar televisi terima buka layar led nya pecah kecewa kualitas kirim barang bikin ribet kembali isi formulir besok libur nasional libur susah cari jne kembali kecewa
186,1,harga bayar sesuai harga flash salelebih mahalhati hati proses batal aju batal batal via jalur d tanggap lazadaparaaah kali kecewa berat
187,1,barang terima kirim cepat exellenttp kualitas barang baguspenerimaan sinyal televisi bagus terima stasiun tvsy coba antena sjsedangkan televisi merk tokcertidak terima stasiun televisi terima puas merk
188,1,lcd rusak buka kurir bilang antar bawa buka kecewa harap proses kembali barang cepat ulas terang kirim terang kembali barang
189,1,barang tanggal september buka paket layar garis vertikal tukar barang tolong ya terima kasih
190,1,beli televisi coocaa aug alamat terima manado terima status nya ubah terima mohon cek
191,1,pakai otak kelian jual woii pikir beli jingg dolo ubah kelian tukang
192,1,kacau balau kode promo bnihutri jebak betmen transaksi banget bayar pakai bni credit card transaksi lgs valid potong kode otorisasi oto resiko bobol kartu kredit parah transaksi batal lgs aplikasi batal lalu live agen h h gagal total barang kirim kembali duit dibalikin bodoh deh sybyg kena jebak betmen gilir jadi hubung melulu hubung barang kirim
193,1,televisi nya aman packing kayu pasang televisi nya nyala adaptor infrared nya mati pakai remot nyala tombol power manual televisi aju kembali
194,1,terimakasih coocaa promonya sesuai janji beli smart televisi coocaa free televisi coocaa free televisi nya barang terima barang kembali kecewa
195,1,sales payah nomor telepon wa servis center guna hubung lazmall coocaa inisiatif bantu selesai
196,1,promosi beli dec ny dec malam cepat sih kali on sesuai descripsi besokny habis pulang kerja on jam screen nya ni pulang kerja kondisi kemarin kontak cs balikin duit kecewa
197,1,tvnya rusak in telepon servis centre nya bilang rusa software baik tunggu software baharu otomatis baharu tvnya koneksi internet masuk menu respon aneh ah duit moga ribet
198,1,televisi cepat rusak tangan servis centre susah
199,1,bonus stik bluetooth
200,1,kecewasaya beli televisi incar fitur hdr nyasy cari atur hdrnyasebemarnya televisi suport hdr sih specnya tera support hdrudh telpon csnyacsnya paham ttg hdr
201,1,pakai otak kelian jual woii pikir beli jingg dolo ubah kelian tukang
202,1,kirim tanggal beli
203,1,parah layar blank hitam
204,1,not working
205,1,ah kecwa seler pesan dikirm kaco mh seler
206,1,pesan sandisk otg type c kirim sandisk ultra flair flashdisk pakai anak perlu sekolah bayar barang harga rb harga rb kapok belanja jual
207,1,palsujual aman bosbaru test lagsung copy paste file gb errorbalikin duit
208,1,kecewa tulis situ gb gb parah bngt the
209,1,packaging rapi lindung aman paket baretlecetgoresan colok komputer display komputer kapasitas gb isi file file corrupt diapaapain format fungsi kecewa belanja toko
210,1,barang sampah sebenernya gb kapasitas
211,1,burukkk dikirm file eror terrusss tolong bener jual
212,1,
213,1,beli flashdisk gb pakai nya mbak pantesan baca kapasitas mbak kecewa
214,1,baca data
215,1,paket terima kondisi layar pecah
216,1,dell indonesia sih ragu jual dell indonesia harbonas kemarin beli unit dell inspiron buka paket kaget kecewa unit terima body nya gores barang bekas display dell indonesia koq unit bekas display jual
217,1,barang kirim packing kayu alhasil pecah sampaipengiriman tunda
218,1,juragan order televisi siang jam an pulang kerja jam buka televisi teryata televisi retak parahh dipacking kayu gudang kirim cek televisi nya lcd amann proses ganti gann
219,1,pesan barang tanggal desember barang tanggal desember packing kayu tulis kemas packing kayu langsung buka tugas jne cek televisi kondisi pecah terang perugas jne barang bawa direturn lazada barang ganti dana direfund kali hubung live chat lazada jawab muas suruh tunggu mudah prosesbdan selesai cepat
220,1,kapok belidisini niat kadi free ati ati tipu pas chat beli fi bilang free tanggal mei eh pas udorder bayar bilang sedia tau nya mah bilang kosong toko penipuu
221,1,barang nya bagus kecewa lazada iklan tulis gratis hooq kemaren bilang jebak konsumen selesai belanja lazada komplen
222,1,minggu remote rusak
223,1,gratis janji
224,1,screen patchwall blank screen restart ulang return tukar
225,1,barang terima layar bagus androitnya cepat live televisi kabel antena fungsi ya produk ya
226,1,diharapharap pas buka layar pecah hidup normal kembali gydang moga cepat proses kecewa langgan
227,1,voucher diiklanin voucher hooq tipu nama
228,1,bracketnya kirim via ninja
229,1,situ terang free brackettapi dapetnya televisi nya ajatolong jelas
230,1,sesuai pesan
231,1,free bracket terima
232,1,bos memory flasdisk kali beli d lazada ngaco
233,1,minta dapetnya micro sd ya
234,1,kecewa gambar sesuai slogan infinity view sesuai gambar iklan full view orang tergiurgambar lampir jarak bezel celah jari kelingking lampir foto banding type inch inch lebar gambar display beda bezel tipis ditype inch merk coocaa lohh
235,1,wifi hidup ganti unit
236,1,barang jelex gampang pecah senggol kaya krupuk hubung cs coocaa bantu harga servis harga televisi geletak sarang nyamuk kecoa murah
237,1,nonton netflix muncul sorry your account cant be used on this device moga cooca baik isu sistem update
238,1,barang terima kondisi rusak monitor pecah kembali retur mohon lampir nomor telepon toko hubung kembali respon
239,1,benerbener parahhh keterlaluaann pesann televisi dikirimm komporrr merk tecstar qc nya mata retur kompor nya tolong kirim sesuai pesan
240,1,televisi coba fungsi kcuali internet masalah youtube connect wifi bukti lampir
241,1,pesan tanggal tanggal bayar bayar kirim layan bagus kualitas televisi bagus suka packing nya tebal buble nya golong rapih harga jangkau nya beli smart televisi merk smart televisi inc beli lazada kurang nya vip card nya lazada konfirmasi vip card kirim maksimal barang terima terima kasih lazada
242,1,kecewa beli televisi barang unboxingternyata kerusakanpecah layar panel led tivi mohon menngirimkan produk ganti cepat
243,1,terima kondisi pecah
244,1,barang buka coba dead pixel garis barang cacat kirim customer murah diskon kesan murah sembarang keluh cs coocaa kirim jakara tukar unit repot
245,1,layan lazadanya ok support coocaa nya buruk televisi rusak mainboardnya pakai evip coocaa hak ganti unit minggu kirim kecewa
246,1,kasih bintang notes layan pesan flashsale barang kirim tanggal komplain ulang alhasil terima barang tanggal itu jemput gudang ninua express jakarta jogja paking paking kayu untung barang terima utuh bau televisi sedap posisi nyala bau plastik aneh software android bawa sempurna buku pandu manual minim pandu online overall produk jalan kendala plus vip card email garansi tukar rusak
247,1,belanja terima orang
248,1,kecewa televisi duduk remote kabel power buku pandu garansi tolong kirim pakai kirim express barang sabtu kemaren gax pakai televisi mohon tanggung
249,1,televisi beli flash sale bulan pakai televisi normal kendala kemarin televisi nyala kabel power colok listrik power listrik masuk klaim garansi televisi nya unit coocaa vip card ganti guarantee
250,1,kirim hy pakai bubletraplayar pecah
251,1,parah barang pakai ninja van dipacking kayu layar pecah parah pas kembali pakai jt kena biaya packing kayu
252,1,coocaa televisi okay sesuai spek kecewa pesan unit unit tipe televisi pes salah kirim tipe televisi lapor kembaliin lazada dibalikin duit kirim barang bener beli pas promo harga bagus and tungguin malam promonya balikin duit beli harga promo
253,1,khusus beli november terang tulis free vvip card vvip cardnya buka kotak tvnya vvip cardnya tolong kirim vvip cardnya
254,1,kecewa barang kirim sesuai proses kembali ribet perihal berat sistem beda timabnganmohon solusi lazada
255,1,tahun pakai bad pixel sudut kiri servis center bandung dalem sarang semut klaim garansi guna garansi panel televisi d rumah televisi rusak masuk semut hahhaa moga alami alam buruk coocaa
256,1,bulanpanel led garis
257,1,terima barang kes suami keluh connect usb kali pakai flashdisk pakai sambung usb kabel hp otak atik bener tulis sambung av sambung usb colok dbelakang bikin sensi ajuin kembali kecewa deh dkira televisi bagus gtau nya
258,1,televisi ngehang alias kadang nyala kadang mati bos nyari alamat servis center bandung televisi cacat tau tanggung bangke
259,1,kirim sesuai pesan payah pesan kirim rugi
260,1,barang pecah led
261,1,kirim smar televisi pesan smart televisi tukar aduh kecewa
262,1,lecet silvernya market storenya isa access
263,1,kabel hdmi ya
264,1,kirim lambat cacat keluh
265,1,barang beda type kali ngalamin belanja lazada barang sesuai proses kembali barang biaya packingnya mahal selisih harga lazada mohon bantu
266,1,coba pasang televisi ledkok kebacakbtulan merk aman baca kabelny tukerklo laptop aman dibacamohon jelas
267,1,velum bulan matotkecewa banget
268,1,data baca hbis copy paste truss hilang datanyaayg donk kirim barang
269,1,flash disk palsu file video tutorial langsung corup
270,1,hdd rusak sadar pcb hdd nempel logam
271,1,kecewa toko java elektronik jual lazada beli type beli uni kirim beda unit type rugi rb
272,1,barang hidup
273,1,layar blur sesuai spesifikasi
274,1,barang terima sesuai kecewa harga promo marketplace jid serang promo bonus free brecketshockkkkkkkk langgan lazada
275,1,televisi stopped working in days samsung technician visits later took a week arrange tuju it doesnt then spent hours and hours trying get customer servis help collect it replace the faulty unit i have take a very large televisi a courier shop away pay have it sent back then be considered my uang back terrible customer servis
276,1,hadiah sound bar kirim
277,1,kecewakatanya gb original tau nya palsu kapasitas gb takut dosa ya jual online bohong
278,1,jelekbarang rusak kirim tolong beli barang
279,1,kbaca televisi led transfer santai melowyaaahh laginext jual original only juragan kecewa
280,1,pesan ryzen ryzen barang kembali dana harap kembali kardus ryzen isi ryzen
281,1,beli televisi kirim kompor lazada care mesan qc nya mata
282,1,jelekisi sesuai d properti nampak tb tpd masukin file gb file hilang tinggal folderajaflashdisk d jualq sesal beli
283,1,kecewa barang terima barang sesuai cover tulis gb cek komputer kapasitas gb mohon cek kirim pesan costumer costumer kecewa barang dagang laris
284,1,kecewa sayapenipuan pas masukin laptop isi nya ko gb ulas gb
285,1,nih colok pas laptop
286,1,mantabbssss cocok tinggal coba
287,1,kecewa flasdisk tulis gb isi gb
288,1,jelek data hapus ngopy file
289,1,mengecewakand situ tulisanya gpas d coba d laptop cm ggmn si musti bohong castamer
290,1,kecewabarang ku tunggu sesuai tulis gb pas pakai gb
291,1,tulisanya gbaktual gbkecewa
292,1,kecewa beli kemas buka nya corupt file buka
293,1,barang original isi file rusak filenya
294,1,barang rusak ko kirim kembali barang buang duit barang rongsok jual payah barang rusak qo jual data masuk hilang data nya instal data nya hilang
295,1,flasdish nya pakaidi masukin file baca file nyakali kecewa
296,1,flashdisk fungsi file dalam flashdisk error buka isi flashdisk real capacity sistem gb isi sistem pokok buruk kali pas ulang file corrupt kembali barang real bad kualitas
297,1,barang rusak jualparah banget kau pakai earphone senter gepeng laptopsisa situ barang rusak
298,1,produk rusak hati beli simpan data hilang
299,1,produk bagus d kirim pesan bayar pc kemas isi barang tunggu barang satu coba hubung sellernya cocok lapor stok gudang suruh hubung support partner nomor nya sulit hubung solusi sekian belanja d lazzada kali alami
300,1,coba format exfat coba format ntfs coba masuk data gb falsdisk gb dicoma buka folder isi nol tolong solusi juragan
301,1,kecewa bgtt colok laptop kok
302,1,barang gb pas isi data nya gb
303,1,becus kau jual tutup toko kau kau kirim kau pikir beda micro usb typec pesan dua micro usb
304,1,
305,1,sayang kosong instal officenya downloadnya ribet terimakasih ya
306,1,kesel banget osnya install masalah install ulang masalah ujung bawa servis center
307,1,pesan dating january
308,1,packing bagus d isi file file nya hilang
309,1,foto video pindah sd card alias hilang kecewa produk
310,1,pakai memory rusak
311,1,jelekkfto d simpan d rusakj
312,1,kecewabarang sesuai pesananpesan gb mbps gb mbps kirim gb mbpssetelah pc dukung format file
313,1,memory ko pas rusak ya memory pas pindahin musik memorymusik nya hilang
314,1,buruk
315,1,lelet
316,1,pesan lenovoyg kirim merk hp
317,1,barang sesuai pesan
318,1,kirim merek hp order toshiba sih tolong jelas
319,1,brang kirim molor smpek minggu pesan bayar tanggal tanggal kecewa
320,1,file langsung corupt
321,1,kecewa flasdis memori card palsu pakai memyimpan data alias rusak tolong lazada tindak reseller jual produk palsu rugi konsumen rusak repitasi lazada
322,1,merk hp kapasitas gb lain gb
323,1,flashdisk corrupt simpan file y d bukakapasitas d cantum sesuaibaru kali beli d lazada kena tipu
324,1,barang pakai nyimpen nyimpen video lagu apk file eror sesal dahh beli flashdisk hp kembaliin uang barang tukar sesal nya
325,1,flash disk masalah pakai pakai sesal beli kata lanjur beli
326,1,barang jelek banget masukin lagu video masuk video pas puter file suka hilang sungguh kecewa kualitas buka lapak bawah tokopedia bukalapak
327,1,beli flashdisk ko barangnyapadahal beli barang toko barang buah otg micro usb buah flashdiskhadeuuhtlg cek pesan flashdisknya kirim alamat
328,1,kirim cepat sesuai jadwal beli buah harga sesuai dgpenawaran barang gb tulis flashdisc gbbox kemas gb pakai isi gb kecewadoonggg ach
329,1,pakai copy file bacara sesal bliknya
330,1,sesuai gambar asik
331,1,pakai simpan data video
332,1,barang jelek
333,1,beli fungsi semuadikasih file file nya hilangggbusuk
334,1,barang jelek jual bener donkmasa tulisanya gb
335,1,pakai rugi beli
336,1,simpan data data kirim hilang harga bohong mf return
337,1,barang jual buruk tulis gb mbak
338,1,tulis gb buka cm gb kecewa
339,1,fd cacad
340,1,payah
341,1,beli rusak televisi lelet merespon remote klaim garansi mana ya mana hubungin sesal beli tcl
342,1,kecewa lazada nyakarena sistem kembali produk akses akan setting televisi rusak kembalikankarena produk milik lazmal inti lazada rugi
343,1,braket stiker segel kelupas bekas servis
344,1,bonus breket nya ya
345,1,kirim buruk bayar ongkir super lelet lebih proses kurir jdid sesal beli tau siput kurir enak beli belah
346,1,bad
347,1,kurir ya barang terima
348,1,ram gb main pubg support hp ram gb support gb
349,1,batere sesuai sebentar langsung drop support power bank jalan normal
350,1,barang terima layar pecah kepala changernya pecah emas pakai babble wrap pokok parah banget
351,1,barang sesuai deskripsi prosesor octa core tulis deskripsi memory ram gb kapasitas gb cek pakai aplikasi sd insight download untung barang kembali beli produk pikir ulang deskripsi sesuai capek buag tenaga biasa baca tinjau beli this item was not as described in sellers description the processor was not octa core but only dual core cheap proccessor mediatek ram was only gb and storage only gb it is easily revealed using sd insight playstore mohon read tinjau buy this item
352,1,kecewa pakai barang kirim telat simcard baca barang ringkih sesal beli barang
353,1,mohon refund dana donk bingung balikin barang
354,1,anak lumayan main game online offline ok untung harga kaki rugi
355,1,the tablet is broken
356,1,barang pakai kaca pecah hidup
357,1,
358,1,barang trima charger nyala kembali kasihan anak uang hasil nabung belrbulanbulan
359,1,parahbarang dak pakai retur kembali
360,1,pecah d pakai lagiterus kembali mana tolong jelas nya
361,1,barang bagus lot layar nya pecah tukar
362,1,barang hidup coba dicass panas mohon lazada jual kualitas pecat
363,1,kembali tablet initablet bekas pakai rusak tolong bantu min
364,1,kirim tunggu televisi layar pecah jual kurir kardus televisi segel packing bubble
365,1,kirim payah asal barang gede packing bungkus plastik packing kayu langgan rugi
366,1,layar led rusak
367,1,beli televisi hd samsung harga rupiah juta kirim pisau parang tolong atur sellernya
368,1,barang mpai wlpun syukur barang amancuma kayu dichat terterah pakai kayu enta nyalah gax coba
369,1,kecewa sesal beli televisi produk samsung televisi mati total bagus televisi sharp sma awet kuat
370,1,mengecewakanbarang sesuai spek tulis layar full hd chat cs samsung bilang full hd televisi batas hd ready bilang nya port hdmi televisi port hdmi satu kosong kaya bom pasang port hdminya barang reject lolos jual konsumen proses kembali barang
371,1,televisi beli rusak garansi
372,1,pesan pcsdi buka barang nya datangdari jual tanggung sekalikecewa betuludah bayar penuh kurir nya barang sesuai d harap
373,1,barang pesan tulis barang terima jancuek barang beli
374,1,kecewa barang buka
375,1,remote paketsudah hubung ichikomereka kekeuh bilang dusngapain bohong remote televisi abal harga rb pesenyg televisi bergarisudah kembaliin jugamerk sampahcs sampahtidak layak beli
376,1,jelek matigak hidup tukar
377,1,televisi nya sinyal gilir kembali tolak cobasaya kecwa
378,1,packeging nya rapih kirim paket jam sesuai recomended banget thank lazada thank ninja van id
379,1,rusak panel
380,1,
381,1,paket terima terima
382,1,fungsi jual barang rusak beli lapak
383,1,sesal beli toko barang rusak virus jual ganti
384,1,barang terima jam kecewa bngt juragan flashdiskmemoryy nga dsmpn
385,1,barang terima kotor barang bekas casenya tanah coba bersihin pakai kanebo air nempel sellernya profesional banget kirim barang kotor sih beli pikir harga murah dekil pakai
386,1,mengecewakanpesan flash casing beli toko tipu
387,1,barang pas coba detect perangkat beda
388,1,rekomen
389,1,barang pakai ccd
390,1,maaf ulas kecewa barang barang nya original virus simpan musik video sesal beli
391,1,pas format gkacau
392,1,pakai kadang pakai rekam lihat video rekam
393,1,iklan gb mbs kirim nya gb mbs gmana niplch tipu bos
394,1,pesan gb gb
395,1,beli buang duit juragan
396,1,kacau
397,1,stelah coba eksternal baca eksternal hardisk baca laptop windows eksternal windows rencana kembali lazada
398,1,buka packing layar monitor pecah mana komplain
