,rating,reviewContent,teks_setelah_prep
74,jelek,Gan uda 3 har ko belum nyampek jga barangnya,juragan har ko nyampek barang
75,jelek,Atas nama jaya Fajarot,nama jaya fajarot
76,jelek,ternyata ga bisa dipakai. pdhl udah beli dua..,pakai beli
77,jelek,barang nya tidak terbaca di laptop,barang nya baca laptop
78,jelek,"Tampilan bagus tapi,ngk bisa terdeteksi laptop...",tampil bagus tapingk deteksi laptop
79,jelek,ini kata nya external HD kenapa saya hanya terima kotak kosong saja..,nya external hd terima kotak kosong
80,jelek,Saya mau uang saya dikembalikan !,uang kembali
81,jelek,wadah exten,wadah exten
82,jelek,Maaf mas tidak usah dikirim. Maaf sebelumnya.,maaf mas kirim maaf
83,jelek,Jangan di beli gan,beli juragan
84,jelek,serius gan 3 TB,serius juragan tb
85,jelek,"Baru 6 bulan pakai,  sudah rusak.  Mati tidak bisa di charge, di Youtube banyak kasus yang sama",pakai rusak mati charge youtube
86,jelek,"Barang jelek, saya ditipu",barang jelek tipu
87,jelek,Mahal bgt gag punya duitttt,mahal banget duitttt
88,jelek,dagang ini PENIPU! bilangnya USB 3.0 tau2 yg dateng USB 2.0! harganya mahal lagi!,dagang tipu bilang usb tau usb harga mahal
89,jelek,kabel ny rusak,kabel ny rusak
90,jelek,ga dapet kabelnya masa :'( cuma case DOANK hiks,dapet kabel case hiks
91,jelek,"Awalnya bahagia bangat barang dah nyampe dalam 2 hari,  tapi waktu dicolokin ke pc,  hardisknya ga bisa kedetect dg kabel bawaannya. Seharusnya kabelnya dua cabang. Akhirnya harus minjam kabel teman.",bahagia bangat barang dicolokin pc hardisknya kedetect kabel bawa kabel cabang minjam kabel teman
92,jelek,"Barang sampai telat, voucher antivirus sudah expired. Ada pertanggung jwbannya gak?",barang telat voucher antivirus expired tanggung jawab
93,jelek,"paling enak tuh belanja di Lazada ,kenapa? lu semua pembeli kalau mau cari untung di Lazada gampang, jadi gini lu pada beli barang lebih dari tiga biji, misal beli empat, nanti kalau sudah diterima lu pada komplain, bilang aja terima tiga tinggal foto tiga biji produk, yang satu umpetin ,udah lu pasti dipercaya, dan dijamin duit lu balik untuk barang yg dianggap belum dikirim satu lg, GW punya kasus gara2 merchant nama aneka perdana, GW beli enam ,dikirim lima, GW komplain, tapi foto gw g dipercaya karena g di foto sama kemasan, padahal GW beli barang lain yg mahal2 bgt g pernah akal-akalan, ini barang murah g seberapa , harganya g di percaya, lihat aja transaksi GW kan ketahuan, ah udah lah pokoknya mau cari untung di Lazada ikuti cara GW diatas dijamin berhasil ,komplain , Lazada Kiki  no komplain ,  inget nama merchant aneka perdana, masalah sudah sebulan masih gantung !!!!, terima kasih lazada mengalahkan rekor komet ya!!!!!! komplainya, buat jadi pertimbangan lu semua sob ,mudah-mudahan ada manfaatnya",enak tuh belanja lazada beli cari untung lazada gampang beli barang biji beli terima komplain bilang terima tinggal foto biji produk umpetin percaya jamin duit barang anggap kirim gara merchant nama aneka perdana beli enam kirim komplain foto percaya foto kemas beli barang mahal banget akalakalan barang murah harga percaya lihat transaksi tahu ah pokok cari untung lazada ikut atas jamin hasil komplain lazada kiki nomor komplain nama merchant aneka perdana bulan gantung terima kasih lazada kalah rekor komet ya komplainya timbang sob mudahmudahan manfaat
94,jelek,"Barang sudah sampai.paket rapi .Tapi kemarin ada misi kemarin harusnya saya minta diantar pakai gojeg tapi kok di rubah pakai pengiriman biasa.tanpa konfirmasi,mungkin itu masukan saya untuk yg lainnya okelah",barang sampaipaket rapi kemarin misi kemarin antar pakai gojeg rubah pakai kirim biasatanpa konfirmasimungkin masuk oke
95,jelek,ga nyampe 2 minggu pisan,minggu
96,jelek,Produk tidak disertai Kartu Garansi. Invoice tidak menyatakan bahwa produk ini bergaransi,produk serta kartu garansi invoice produk garansi
97,jelek,Product yang kami terima tidak bekerja dan tidak dapat di gunakan. Mohon dapat diganti,produk terima mohon ganti
98,jelek,"Penjualnya kasih garansi berapa bulan nih, bisanya Asus 24 bulan tp ini kok cuman 1 tahun,...jadi ragu mau beli",jual kasih garansi nih bisa asus tahunjadi ragu beli
99,jelek,gw kena PHP harbolnas lazada 2 kali. musti pertebal ilmu sabar dan ikhlas....,kena php harbolnas lazada kali musti tebal ilmu sabar ikhlas
100,jelek,"Mohon bantuannya untuk HDD eksternal ini tidak dapat do baca di laptop, macbook maupun pc, saya mohon untuk barang ini dapat di tukarkan yang baru",mohon bantu hdd eksternal do baca laptop macbook pc mohon barang tukar
101,jelek,Jelek,jelek
102,jelek,gan...kenapa hard disk yg saya beli rusak ya?,gankenapa hard disk beli rusak ya
103,jelek,"Produk ok, tapi voucher yg tertera pd penawaran sudah expired",produk ok voucher tera pd tawar expired
104,jelek,Barang bagus tp anti virusnya kok di ganti stiker......,barang bagus anti virus ganti stiker
105,jelek,Saya tidak mendapatkan antivirus kaspersky yang dijanjikan ada di dalam paket ini sebagai gantinya saya hanya mendapatkan gantungan kunci yang tidak berguna mengecewakan,antivirus kaspersky janji paket ganti gantung kunci guna kecewa
106,jelek,Saya pesan tgl 3 Jun dan lsg byr dgn metode kirim express utk dikirim tgl 5 Jun.. Namun smpe tgl 7 Jun jam 8.30 barang blm saya terima.. Tyt metode kirim express diganti menjadi regular tnp ada konfirmasi kepada saya lebih dulu..pada saat bayar brg saya sdh kena charge biaya kirim express sdgkan kl regular free delivery..saat ditanya antara pihak Lazada dgn supplier saling tunjuk satu dgn yg lain perihal gojek yg tak kunjung datang di tgl 5 Jun..nah skr malah mrk pakai ninja express..sang ninja express malam jam 9 tgl 6 Jun telp saya utk mw kirim brg..gilaa aja alamat kirim ke kantor kagak dicek dulu pa ya jam 9 malam bru mw dikirim siapa yg mw trimain..bener2 kapok saya cukup sekali ini..,pesan tanggal jun lsg bayar metode kirim express kirim tanggal jun tanggal jun jam barang terima tyt metode kirim express ganti regular konfirmasi dulupada bayar barang kena charge biaya kirim express sdgkan kl regular free deliverysaat lazada supplier perihal gojek kunjung tanggal junnah skr pakai ninja expresssang ninja express malam jam tanggal jun telepon kirim brggilaa alamat kirim kantor cek pa ya jam malam kirim trimainbener kapok
107,jelek,Kalau HDD-nya emang 4TB?,hddnya emang tb
108,jelek,"Masa 3 Go Jek sdh kesana tutup terus tokonya, order tgl 31 Mei 2017 sampai dg detik ini barang blm terkirim...",go jek kesana tutup toko order tanggal mei detik barang kirim
109,jelek,Baru pakai 3 hari hdd sudah rusak data hilang!  Jangan di beli ! Tidak di rekomendasi,pakai hdd rusak data hilang beli rekomendasi
110,jelek,Setelah nunggu proses pengiriman terlambat 1 minggu tau2 dibatalkan stock tdk ada.. Promonya ga jelas!!!,nunggu proses kirim lambat minggu tau batal sedia promonya
111,jelek,Bagus gak ?,bagus
112,jelek,Barang ready??,barang ready
113,jelek,"Dari segi packing cukup bagus, kondisi fisik barang terlihat bagus dan bahan yg digunakan cukup lumayan, elegan dan simpel menurut saya.tapi sayang, begitu dicoba barang tidak berfungsi. Hanya lampu indikator saja yg menyala. tidak terdeteksi sama sekali di windows.",segi packing bagus kondisi fisik barang bagus bahan lumayan elegan simpel sayatapi sayang coba barang fungsi lampu indikator nyala deteksi windows
114,jelek,barang sudah keterima tapi ga bisa ke detect di komputer.. mohon solusi buat pengembalian barang karena dalam paket gak ada kertas buat pengembalian barang,barang terima detect komputer mohon solusi kembali barang paket kertas kembali barang
115,jelek,Barang KW,barang kau
116,jelek,Kenapa saya pesan ini yang dtang mlah jam digital ? Apkah bisa di retur,pesan jam digital apkah retur
117,jelek,"Ada yg penyok pada casenya di bagian antena, mungkin pengiriman kurang aman dan hati2, tp untungnya masih fungsi baik. Deskripsinya ada yg gak sesuai, gak ada batre/powerbank tuh. Buku manualnya bahasa cina, ga ngerti. Coba2 sendiri akhirnya bisa, di bantu google.",penyok casenya antena kirim aman hati untung fungsi deskripsi sesuai batrepowerbank tuh buku manual bahasa cina ngerti coba bantu google
118,jelek,MOHON BATALKAN PESANAN SAYA KARENA SAYA BERADA DILUAR KOTA,mohon batal pesan luar kota
119,jelek,"Saya nunggu seharian, kenapa ga di proses sama sekali?  Padahal saya minta pengiriman via gojek loh...",nunggu hari proses kirim via gojek loh
120,jelek,"kenapa saya udh 2 kali mesen tapi di batal kan terus, saya ga puas, udh nunggu lama tapi malah di batalin . . ..",kali mesen batal puas nunggu batalin
121,jelek,"saya kira ini sudah ada hardisknya, ternyata masih harus beli lagi.  ini cuma alat transfernya doang.  jadi tidak kepake ini barang",hardisknya beli alat transfer pakai barang
122,jelek,"Barang nya cepet datang, packing rapi. Tapi BARANG GAK BISA DI PAKE !!!",barang nya cepat packing rapi barang pakai
123,jelek,"barang sudah saya Terima, tetapi saat digunakan tidak berfungsi 😡",barang terima fungsi
124,jelek,"Sudah lewat estimasi pengiriman, barang tak juga datang",estimasi kirim barang
125,jelek,Saya kira sama hardisk nya ternyata cuman alat transfernya doang gimana nih saya beli jadi ga di gunaiin??,hardisk nya alat transfer nih beli gunaiin
126,jelek,"sngt kecewa..,brng gk sesui foto,gambr gk jernih..,andai sja bsa di kemblikan...,saya di ptong 100rb gpp...",kecewabrng sesui fotogambr jernihandai kemblikansaya potong rb tidak-apa-apa
127,jelek,klo ditonton dari samping gk kelihatan harus dari depan,tonton samping
128,jelek,Warna Silver Ready kaga bos? Thanks bos.,warna silver ready bos terimakasih bos
129,jelek,"Barangnya bagus, cuma bikin kecewa waktu pengiriman telat dr tanggal yg ditentukan, yg seharusnya barang d terima dlm 2 minggu ternyata telat sampai di minggu ke 3",barang bagus bikin kecewa kirim telat tanggal tentu barang d terima minggu telat minggu
130,jelek,di buang,buang
131,jelek,Gak bisa di pake,pakai
132,jelek,flash disk ga berfungsi cuy.,flash disk fungsi cuy
133,jelek,Barang rusak,barang rusak
134,jelek,Barang tidak bisa di pakai jgn di jual,barang pakai jual
135,jelek,nyesel se nyesel nyeselnya barangnya jelek datengnya lama lama banget tidak sesuai tglnya penjual juga tidak bertanggung jawab gada respon sama sekali dr toko nyesel banget,sesal sesal nyeselnya barang jelek datengnya banget sesuai tglnya jual tanggung respon toko sesal banget
136,jelek,Pesanan saya Rusak/ Tidak bisa dipergunakan,pesan rusak
137,jelek,"Respon dan pengiriman cepat. Tp barang diterima cacat. Tdk dipacking dgn aman pakai kayu, cuma kotak tv biasa, sampai ke alamat saya layar tv pecah. Saat ini saya sedang melakukan retur, saya kirim ulang via tiki. Tolong segera ditindaklanjuti, dikirim ulang dgn aman.",respon kirim cepat barang terima cacat dipacking aman pakai kayu kotak televisi alamat layar televisi pecah retur kirim ulang via tik tolong ditindaklanjuti kirim ulang aman
138,jelek,kecewa . barang saya terima dalam kondisi pecah layarnya.,kecewa barang terima kondisi pecah layar
139,jelek,Sama speaker skali kan? garansi berapa tahun ya?,speaker garansi ya
140,jelek,yang datang warna biru.. gak sesuai gambar.. karet dalem nya beda sama gambarnya.. kegedean lagi .. hadeh ...,warna biru sesuai gambar karet dalem nya beda gambar hadeh
141,jelek,"Kondisi Barang Vs  Seharusnya Warna Merah seharusnya Hitam Ukuran 3.5"" seharusnya 2.5"" Model Tidak Sama dengan Gambar.",kondisi barang vs warna merah hitam ukur model gambar
142,jelek,"Kecewa sekali....pesan saat harbolnas (12-14 Des 2016) pas harga nya murah (sekitar 29k)...eh udah pesan ternyata di akhir bulan pesanan ditolak.... Kapok deh belanja di seller ini, gak tau barangnya gak ada atau takut rugi ngejualnya...",kecewa sekalipesan harbolnas des pas harga nya murah keh pesan pesan tolak kapok deh belanja jual tau barang takut rugi ngejualnya
143,jelek,"Ukuran yg di gambar td sesuai dgn gambar terlalu besar untuk hdd 2.5"". Warna yg datang merah sedangkan di gambar warna hitam.",ukur gambar sesuai gambar hdd warna merah gambar warna hitam
144,jelek,Barang ga sesuai gambar. Kegedean,barang sesuai gambar
145,jelek,"barang terlalu besar untuk ukuran ext hd 2,5"", ni barang ukuran aslinya sekitar 6""... seharusnya judul disesuaikan jd tidak membuat pembeli kecewa.",barang ukur ext hd ni barang ukur asli judul sesuai beli kecewa
146,jelek,Jangan sampai beli seller penipu lagi kurang stabil otaknya sudah banyak jadi korban ditolak alasan stock habis,beli jual tipu stabil otak korban tolak alas sedia habis
147,jelek,"Penipuan nih, nanti barang nya digagalkan dengan alasan stok barang habis. Akhirnya uang konsumen tertahan selama 7 hari lebih.",tipu nih barang nya gagal alas stok barang habis uang konsumen tahan
148,jelek,Leptop mati apa hidup ini,leptop mati hidup
149,jelek,Mohon tulis harga dengan benar,mohon tulis harga
150,jelek,"pengiriman sangat lama, tgl 19 di pesan, tgl 22 barang baru dikemas, tgl 23 baru diambil ekspedisi, tgl 25 baru sampai. Masih dijabotabek tapi lama.",kirim tanggal pesan tanggal barang kemas tanggal ambil ekspedisi tanggal dijabotabek
151,jelek,Pengiriman tidak sesuai tanggal yang tertera,kirim sesuai tanggal tera
152,jelek,"Barang cepat sampainya. Kualitas FD kurang bagus, file yang di copy sering corrupt.",barang cepat sampai kualitas fd bagus file copy corrupt
153,jelek,ram 8gb atau 4gb?,ram gb gb
154,jelek,Barang yg dikirim tidak seperti yang di gambar,barang kirim gambar
155,jelek,Knpa prosesnya lama? Apa gagal atau sya harus pesan lagi,proses gagal pesan
156,jelek,"Pengiriman cepat. Kualitas gambar bagus, terutama kualitas suaranya oke. DVB T2 berfungsi baik. Cuma remote ada yg error. Tombol source tidak fungsi, jd kalau mau ganti ke usb, hdmi atau lainnya mesti pencet tombol fisik di tvnya. Sudah minta ganti ke seller, malah disuruh contact Aquanya. Kata Aqua kalau remote rusak dan baru beli bisa minta ganti ke tokonya. Ribet deh dipingpong...😤",kirim cepat kualitas gambar bagus kualitas suara oke dvb t fungsi remote error tombol source fungsi ganti usb hdmi mesti pencet tombol fisik tvnya ganti jual suruh kontak aquanya aqua remote rusak beli ganti toko ribet deh pingpong
157,jelek,Klw.di kirim k karawang bisa gak?,klwdi kirim k karawang
158,jelek,Gambarnya tidak keliatan,gambar
159,jelek,"Barang sudah diterima dan pengiriman lumayan cepat, tapi ada 2 hal yg harus penjual perhatikan: 1. di etalase tv dijual dengan bonus free Braket, tapi yang datang cuma tv nya doang braketnya ga ada, 2. ongkir tercantum Rp 200.000 saya kirim sesuai yg tercantum, tp pas di cek di resi yang tercantum oleh ekspedisi Cobra ternyara cuma 75.000. tetep konsumen yang dirugikan. toko ini jadi catatan buat saya kecuali menylesaikannya",barang terima kirim lumayan cepat jual perhati etalase televisi jual bonus free braket televisi nya braketnya ongkir cantum rupiah kirim sesuai cantum pas cek resi cantum ekspedisi cobra ternyara konsumen rugi toko catat kecuali menylesaikannya
160,jelek,Gan saya pesan warna biru kok yang datang warna merah?,juragan pesan warna biru warna merah
161,jelek,Barang yg di kirim tidak sesuai dengan yang di tampilkan,barang kirim sesuai tampil
162,jelek,Cukup memuaskan,muas
163,jelek,Kualitas barangny bisa di jamin g ya,kualitas barangny jamin ya
164,jelek,"Tertera di depan masih ada stok, setelah di klik beli terjadi kesalahan. Mohon diperbaiki",tera stok klik beli salah mohon baik
165,jelek,Bisa bayar ditempat?,bayar tempat
166,jelek,Cara mencicilnya gmna?klw gak ad kartu kredit,cicil gmnaklw kartu kredit
167,jelek,3tb harga segituu ????,tb harga segituu
168,jelek,Tempat hardisk pc apa bukan takut nya sya jadi beli ga muat untk ukuran hardisk pc gan..... Mohon penjelasannya.,hardisk pc takut nya beli muat untk ukur hardisk pc juragan mohon jelas
169,jelek,"Clickbait banget ya judulnya, udah beli 2 lagi, ternyata cuma casing, untung dikasih kabel usb",clickbait banget ya judul beli casing untung kasih kabel usb
170,jelek,Apakah windows-nya original?,windowsnya original
171,jelek,Gan tolong cek barangnya kok blm nyampe juga padahal say pesan dari tanggal 17 mei,juragan tolong cek barang say pesan tanggal mei
172,jelek,Trnyata dpt kabel... Baru smpe blum di tes.. Tar smoga bisa... Tnx,kabel tes moga tnx
173,jelek,Barang nya kira kira bagus g y semoga pas datang nanti bagus,barang nya bagus y moga pas bagus
174,jelek,cara klaim garansi gimana y?,klaim garansi y
175,jelek,"produk bagus dan original, namun pengiriman lama benget kurang lebih 1 bulan, baru sampai",produk bagus original kirim benget
176,jelek,Antivirus nya ga bisa di claim,antivirus nya claim
177,jelek,Bisa windows 7?.,windows
178,jelek,"Barangnya Ok, pengirimannya lama buanget capek nunggunya",barang ok kirim banget capek nunggunya
179,jelek,barangnya kecil banget..kirain seperti gambar gede,barang bangetkirain gambar
