,rating,teks_setelah_prep
99,1,kena php harbolnas lazada kali musti tebal ilmu sabar ikhlas
100,1,mohon bantu hdd eksternal do baca laptop macbook pc mohon barang tukar
101,1,jelek
102,1,gankenapa hard disk beli rusak ya
103,1,produk ok voucher tera pd tawar expired
104,1,barang bagus anti virus ganti stiker
105,1,antivirus kaspersky janji paket ganti gantung kunci guna kecewa
106,1,pesan tanggal jun lsg bayar metode kirim express kirim tanggal jun tanggal jun jam barang terima tyt metode kirim express ganti regular konfirmasi dulupada bayar barang kena charge biaya kirim express sdgkan kl regular free deliverysaat lazada supplier perihal gojek kunjung tanggal junnah skr pakai ninja expresssang ninja express malam jam tanggal jun telepon kirim brggilaa alamat kirim kantor cek pa ya jam malam kirim trimainbener kapok
107,1,hddnya emang tb
108,1,go jek kesana tutup toko order tanggal mei detik barang kirim
109,1,pakai hdd rusak data hilang beli rekomendasi
110,1,nunggu proses kirim lambat minggu tau batal sedia promonya
111,1,bagus
112,1,barang ready
113,1,segi packing bagus kondisi fisik barang bagus bahan lumayan elegan simpel sayatapi sayang coba barang fungsi lampu indikator nyala deteksi windows
114,1,barang terima detect komputer mohon solusi kembali barang paket kertas kembali barang
115,1,barang kau
116,1,pesan jam digital apkah retur
117,1,penyok casenya antena kirim aman hati untung fungsi deskripsi sesuai batrepowerbank tuh buku manual bahasa cina ngerti coba bantu google
118,1,mohon batal pesan luar kota
119,1,nunggu hari proses kirim via gojek loh
120,1,kali mesen batal puas nunggu batalin
121,1,hardisknya beli alat transfer pakai barang
122,1,barang nya cepat packing rapi barang pakai
123,1,barang terima fungsi
124,1,estimasi kirim barang
125,1,hardisk nya alat transfer nih beli gunaiin
126,1,kecewabrng sesui fotogambr jernihandai kemblikansaya potong rb tidak-apa-apa
127,1,tonton samping
128,1,warna silver ready bos terimakasih bos
129,1,barang bagus bikin kecewa kirim telat tanggal tentu barang d terima minggu telat minggu
130,1,buang
131,1,pakai
132,1,flash disk fungsi cuy
133,1,barang rusak
134,1,barang pakai jual
135,1,sesal sesal nyeselnya barang jelek datengnya banget sesuai tglnya jual tanggung respon toko sesal banget
136,1,pesan rusak
137,1,respon kirim cepat barang terima cacat dipacking aman pakai kayu kotak televisi alamat layar televisi pecah retur kirim ulang via tik tolong ditindaklanjuti kirim ulang aman
138,1,kecewa barang terima kondisi pecah layar
139,1,speaker garansi ya
140,1,warna biru sesuai gambar karet dalem nya beda gambar hadeh
141,1,kondisi barang vs warna merah hitam ukur model gambar
142,1,kecewa sekalipesan harbolnas des pas harga nya murah keh pesan pesan tolak kapok deh belanja jual tau barang takut rugi ngejualnya
143,1,ukur gambar sesuai gambar hdd warna merah gambar warna hitam
144,1,barang sesuai gambar
145,1,barang ukur ext hd ni barang ukur asli judul sesuai beli kecewa
146,1,beli jual tipu stabil otak korban tolak alas sedia habis
147,1,tipu nih barang nya gagal alas stok barang habis uang konsumen tahan
148,1,leptop mati hidup
149,1,mohon tulis harga
150,1,beneran laptop juragan
151,1,ni leptop kondisi
152,1,ni laptop speck nya barang hidup
153,1,kondisi laptop mohon detail terimakasih
154,1,jual abal lazada kurang percaya lazada
155,1,pakai langsung menit data baca
156,1,pesan warna gold kirim silver
157,1,cari
158,1,barang pes sesuai pes flash disk micro sd hadeh mohon teliti barang kembali mohon proses
159,1,barang sesuai gambarpesanan kasih fd model model beli kecewa lazada kembali barang
160,1,pesan gb kirim gb santai respon recomend
161,1,tolong judul deskripsi eksternal tb eh cma casingnya pesan
162,1,hahaha sampah
163,1,barang ready nunggu pesan batal nomor pesan untung duit
164,1,kualitas kecewa susah hubung kali colok hubung
165,1,ok banget
166,1,rusak ngbaca hddnya
167,1,guna kabel usb fungsi
168,1,gb
169,1,flashdisknya copy data pas buka data langsung hilang ya
170,1,beli minggu pakai error simpan baca kecewa
171,1,dicolokin rusak bunyi beep ulang ulang untung retur ekspedisi
172,1,pakai minggu hang
173,1,tipu beli beli canvio ready kirim canvio basics jual beda sungguh kecewa
174,1,kecewa beli canvio ready kirim canvio basics jual beda beda harga beda fitur sungguh kecewa
175,1,garansi nasional lenovo beli nota beli klaim garansi terimakasih
176,1,hanha beli kayak juragan
177,1,kirim tolong informasiin beli
178,1,ram nya gb gb
179,1,sesuai spek ya
180,1,bayar kirim same servis gojek kirim telah beli bayar tanggal juni makan siang sengaja bayar butuh cepat kejar libur lebaran barang kirim tanggal juni jam mana kantor libur lebaran kirim pakai ninja express reguler bayar rb ongkos kirim same servis ditelp ninja express tanggal juni jam an paksa titip orang daerah kantor tutup kantor tumben kenkez kecewa
181,1,garansi kartu garansi da claim garansi
182,1,hubung laptop kecewa
183,1,barang kirim sesuai pesan orico us dikirm us repot kembali dana kirim barang
184,1,barang beli nyesal barang pakai
185,1,terima pouch ukur kecewa
186,1,barang kirim kau kecewa
187,1,kecewa bgtbrg palsuperlu tindak lanjut tipu
188,1,dicolokin hp masuk kecewa ah tampil bagus
189,1,bekas ya
190,1,barang krim
191,1,barang pakai kecewa
192,1,halo tera barang terima nyata barang terima mohon perhati nama beli maria sianturi
193,1,barang
194,1,kecewa layan pesan sameday antar kontak kurir toko
195,1,jebak
196,1,kecewa
197,1,tahan rusak
198,1,file corrupt cepat speed mbps flashdisk palsu
199,1,barang nya palsu otg nya d pakai jelek
200,1,flashdisk
201,1,usb hubung otg nya kaya bekas mah kecewa pokok
202,1,mes tunggu bulan produk seseharusn batal tera alamat temu google maaf alamat muncul
203,1,bener sony panasonic judul sony inch gambar panasonic descripsinya inch ngacooo bener
204,1,buy get free sony nya panasonic beli deh
205,1,jual detail barang lazada costemer kecewa jual dilazada
206,1,judul deskripsi produk beda lazada sortir jual gni nih tipu hlo
207,1,merk sony panasonic inci didiscreption sesuai barang tawar mohon jelas
208,1,bener televisi sony inch panasonic inch judul deskripsi akur
209,1,bener dunk judul produk biar berita miring lazad
210,1,judul sony smart gambar panasonic deskripsi mau tuh
211,1,depa discription nya inch krterangan inch nih bener
212,1,televisi inch inch inchterima kasih
213,1,televisi inch
214,1,iya televisi
215,1,judul deskripsi beda
216,1,nipu
217,1,panasonic sony
218,1,sony inci inci
219,1,judul nya baca spesipikasi utama led bener
220,1,inchi
221,1,inci hhahha bener
222,1,raedy kh barang nya juragan
223,1,inch inch
224,1,harga beneran ukur inch
225,1,televisi sony
226,1,kali kecewa lazada pesan pakai gojek barang pesan model atm mandiri bca tiga flasdisk kecewa
227,1,kecewa banget flashdisk emang bener kapasitas gb flashdisk nya rusak flashdisk kena virus data masuk flashdisk virus sortcut flashdisk jual bener jual barang rusak
228,1,lokasi toko mana ya
229,1,barang pesan smp k sayasmp sekarangdan email masuk barang d terimasiapa terimalazada tanggung
230,1,barang yag terima sesuai gambar cek kapasitas gb transfer file flasdisk file buka format ulang format file kadang buka kadang curiga kapasitas fdisk gb
231,1,tancap hp konek rubah ntsf ambil data gb
232,1,flashdisknya pakai uang ya rugi nomor hp jual
233,1,flash nyimpan
234,1,flashdisk rusak terima kecewa
235,1,flash nya nyimpan
236,1,kecewaflasdisk pakai
237,1,kali brng ny bts pngrmn sudh
238,1,pakai
239,1,baca laptoptv
240,1,nyimpen video
241,1,beli fd ralat coba kali corrupt
242,1,barang
243,1,minggu barang kirim jugabagaimana juragan barang sih
244,1,tulis gambar nya bayar nyata nya masuk menu bayar transfer yah cari barang bayar kirim transfer
245,1,nyalin file nya banyak dilihatdidengar bagusss nyesell pakai
246,1,barang jelek dijualflashdisk gb ngopi file baca korupnyesel banget andai dipulangin fd tolong lazada filter barang kau alias kwalitas sesuai izin jual
247,1,file baca kembali flasdisnyaaaaaa
248,1,flashdisk nya fungsi copy data baca
249,1,jelek banget fd nya pakai
250,1,copy data
251,1,coba komentar lazada bener asli gb tolong layan
252,1,langsung corruption gamenya
253,1,fd gagal salin laptop file rusak corrupt rekomendasi
254,1,pakai full gbkok ragu order
255,1,isi game ps ya
256,1,pesan pakai jasa gojek tanggal november barang tolong orang kpok beli dilazada layan recomended
257,1,barang
258,1,murah harga turunin k
259,1,juragan pesan tanggal barang datangdatang deskripsi kirim tanggal barang butuh jelas
260,1,estimasi barang tanggal september ni tanggal jual ni
261,1,ni pesan
262,1,keridit
263,1,batas kirim barang
264,1,bulan rusak refund alas barang garansi garansi pas bongkar hardisk dalam samsung caseing seagate dalam murah beli kecewa
265,1,skg barang pesan terimadari tanggal september status lazada kirim ni resi pengirima
266,1,pesan terima pesan proses bayar tanggal juli pesan
267,1,kecewa lahh ufd palsu spesifikasi lampir situs original contoh cover pack warna hijau kirim warna merah file hasil copy nya corrupt best jual kualitas mengeccewakan kali beli lazada kecewa tukar barang sesuai spesifikasi
268,1,komen baik cantumkancomment barang sesuaifree antivirus nya
269,1,kirim barang sesuai janji barang kemas bubble wrap bahan plastik murah antivirus techtitan kaspersky janji bentuk taut didownload softwarenya taut aktivasi kode aktifasi menghubi telepon cupport respon cepat suruh backup data format ulang prosedur instalasi anti virus n aktifasi kodeny sungguh riiibbeettt beli laptop netbook pc akn kerepotandan hdd format y layan muas sayang beli puas repot pesan tambah beli barang serasa barang bekas
270,1,tranfer file cepat turun refund keburu box nya buang
271,1,batal kirim kenkez
272,1,murah pas flash sale harga
273,1,barang cepat pesan kemarin far kirim oke barang coba anti virus rendemm aktivasi pas install program anti virus nya masuk kode aktivasi oleh situs nya incorect aneh harddisk copy data kapasitas mbak menit banget
274,1,produk kirim sesuai warnabonus anti virus jalan
275,1,wd passport kali putus koneksi file hilang mana alhamdulillah backup filefile dirokemendasi hard disk external seagate dengar rekomendasi bagus kawankawan departermen it kantor
276,1,kali pesan wh hd external batal lazada pemberitahuan email sms
277,1,support produser tuntas
278,1,garansi boss
279,1,pesan hitam lapak hitamtp kuning payah bener sellernya
280,1,order gb gb kecewa kapok blanja toko orang amanah
281,1,mantap awet
282,1,sandisk nya baca komputr
283,1,serius pesan jual barang sesuai harap pakai banget sesuai iklan pakai banget kartu garansi pulpen merk kenko hologram segel pas buka parah isi file nya back up an kaya kirim jual barang barang bekas oke juragan saran banget pesan jual sekian kali jual lazada kecewa
284,1,barang test error disk iya mending cari deh
285,1,barang terima pouch pen sih
286,1,barang sesuai deskripsibarang bekas kacau
287,1,hdd isi bekas harga mahal beli kocak ngeselin
288,1,barang bekas jual indikasi file isi isi software autobackup pasword wd file file perintah dapat file perintah daerah bangka backup hp foto foto gb pen pulpen kenko kampret jual kartu garansi barang dibalikin tolong kembali barang sesuai moga alami bangkrut bangkrut bangkrut
289,1,ko psanan batalin coeg
290,1,terang free pouch pentapi sampaionly producttau cari lainhaddeuuuh
291,1,klaim garansi ya beli baca komputer
292,1,weekend libur national kirim same delivery by system muncul pilih same delivery kecewa masalah rb tambah biaya kirim ekspektasi realita harap mohon system tinjau ulang moga rugi beli butuh barang moga tinjau customer
293,1,pesan tanggal situ tera barang terima hari pakai biaya same bayar tunggu jam malam barang pakai acara ngapain bayar same barang nya
294,1,kirim lambat
295,1,partisi hilangtidak sesuai promo t
296,1,nya telat muas anter pintar men setting telat minggu bayar ongkir
297,1,pesan barang tanggal des warna salah retur ganti warna sistem lazada barang ganti kirim tanggal des tunggu jan konfirmasi lazada barang kirim alamat lazada teledor kali alami jangka ganti rating barang ganti
298,1,tulis biru harddisk kirim hitamhaduhpadahal tunggu
299,1,banding harganyakualitasnya sekalidengan harga rb kualitas pada harga mahal
300,1,kualitas jelek
301,1,flashdisk abal file simpan trbaca hilang
302,1,barang bonus terima cepat pakai barang masalah
303,1,fd error pakai
304,1,v coeg kau nya
305,1,harddisk cepat panas
306,1,barang juragan
307,1,produk bagus pakai minggu alami file dicopy korup file masuk baca copy langsung ukur ngadat masuk buka file hilang moga kena
308,1,bagus
309,1,usb terima pindahin data file save terang write protected pindah data masuk usb save file edit muncul terang write protected yah kembali
310,1,produk isi gb salah format kapasitas
311,1,selamat pagi hormat kecewa lazada kirim sesuai barang pesan nama beli sesuai nama asli harap depan teliti mempacing barang konsumen kecewa terima kasih hormat surma muhdiana
312,1,video simpan flashdisk rusak
313,1,barang kirim sesuai pesan data dicopy hilang
314,1,dvd gaj
315,1,segel brgnya stiker hologram sayang pas pakai nyimpan data simpul barang reject kapok beli merk toshiba made in philippines mending beli merk
316,1,barang nya terima bang
317,1,bayar transfer minggu barang pemberitahuannya terima barang wahh parah nih
318,1,parah isi gb pakai gb filenya pd hilang kapok beli flashdisk toshiba made in philipines
319,1,beli dpke
320,1,pakai palsu nih
321,1,kau
322,1,sih sederhana sajasdh kali beli produk tawar lazadatp iniga kecewa
323,1,ya juragan kapasitas makan gb gb gb gb kecewa banget
324,1,pakai usb rusakkkkkkkkk ganti fungsi
325,1,barang baracuda rpm pipeline hd
326,1,kecewasmua fto masuk d bca fto tntg prawedmuncul dsaat buka open with file dukunghlng ftoq gara usb ni smuqa komputer kena virus mrmbet usb lainpalsu
327,1,flashdisknya digukan otgnya hp connect
328,1,pesan usb flashdisk toshiba gb hadiah orang cek kapasitas mbak harga murah hatihati terima barang kecewa berat beli pcs detect bener
329,1,barang coba kali hardisk ttp kecewa
330,1,saran beli barang toko pas stok habis toko kirim barang enak jidat
331,1,pesan nunggu minggu pesan batal gara barang ribet uang tunggu
332,1,tolong d kirim barang bagus kita beli
333,1,ps
334,1,barang sesuai deskripsi gambar
335,1,hardisk dipakaipanduannya pakai ringan banget barang
336,1,case beli external hardisk data buyer salah beli
337,1,port deteksi hardisk lelet juragan kecewa sesuai terang produk
338,1,cicil nya
339,1,barang ready isi tb
340,1,barang baca tulis the disk is write protected
341,1,datangnyadi batalkn bisahadeeeh
342,1,nunggu barang kerja ku hambat gara jual
343,1,sesuai deskripsi dapet kabel data dapet kabel otg
344,1,barang bohong muat mbak
345,1,barang bohong muat mbak
346,1,power bank
347,1,mohon jaga kualitas produk konsumen nyaman aman doa berkah lancar amin
348,1,barang kau jual rugi beli jual barang jual harga tolong jaga kwalitas kapok beli
349,1,error boy
350,1,beli dua baca barang kaya jual kasihan konsumen kapok
351,1,jelek
352,1,pesan gb terima gb mohon tanggung kecewa banget pesan gb gb banget beda
353,1,pesan gb gb kapasitas real gb rekomendasi harap lazada tindak lanjut
354,1,harga boongsuka banget file simpan fd baca format melulu
355,1,pakai
356,1,nyeseltidak pakai
357,1,oke order batal sih profesional
358,1,nih barang bulan datangstatus lazada proses kirimplease follow up lazada team
359,1,ganti mi flash flash distnya min
360,1,pesan kemarin terima pakai windows xp sesuai spec
361,1,kualitas bagus kirim nya
362,1,harga laptop bener harga nya gin
363,1,mohon maaf fd copy file gb fd langsung corrupt file copy corupt tuh eject tulis merk toshiba transcend flash disk kecewa fd nya gb copy file gb
364,1,flashdisk nya kau nyimpan film masukin data klau kebanyakn file baca eror
365,1,barang palsu kapasitas mbak
366,1,usb masukin data hilang asuuu
367,1,produk terima rusak dida simpan data
368,1,barang rusak
369,1,mantap joy
370,1,bosok
371,1,kecewa pakai buang buang duit
372,1,kirim kirim terima rumahjadi terima ya
373,1,fungsi alias mati total buang pakai
374,1,kapasitas flasdisk kirim sesuai
375,1,warna ungu
376,1,beli
377,1,barang bayar via transfer bank yaudalah ribu rupiah refund nya
378,1,hardisknya rusak pakai
379,1,barang terima
380,1,bad
381,1,simpul kecewa
382,1,lazada juan koplak barang terima bilang terima
383,1,produk negeri yasy nrima
384,1,ntbk ungu
385,1,kemas rapi persis asli pas pakai lsg format sukses copy file file msk k flashdisk error not recommended sorry
386,1,barang palsu
387,1,original juragan
388,1,beli coba nyimpan file copy bagai file corupt kapasitas sesuai tera walo cek tera coba partisi ulang emang emang pakai mbak gb pajangin hias dinding segel malas bukanyabaru kali kaya kecewa belanja
389,1,simpan data fd simpan kabel otg nya bagus koneksi den hp
390,1,sesuai deskripsi gb
391,1,data hilang minggu pakai kaya
392,1,flashnya gim sih nyimpen file pas buka file
393,1,kecewa
394,1,juragan pesan nama yulia tolong batal y terimakasih
395,1,barang buka yaapakah barang bekassaya
396,1,kecewa rusak
397,1,kirim bom terima mohon koreksi kirim
398,1,blanja uang belakang ya mending batal
399,1,pesan batal tibauang transfer kembali uangny
400,1,bisadipakai alias rusak
401,1,hard disk cover sesuai deakripsi produk hard disk nya bener inch cas hardisk kirim inch
402,1,produk fungsi
403,1,up t barang up t lemooot cepat panaaassss recomended
404,1,bagus
405,1,kecewasdh terima brgnyatadi harga segitu rupiah plus bonus kabel otgsdgkan harga pasar an ributidak sesuai belanja lazada barang rongsok
406,1,mengbalikan flashdisk fungsi sma skli tolong ganti baramg kirim alamt toko mngrmkn
407,1,kecewa deh hadeh
408,1,pesan warna merah kirim warna biru segel terguntingterbuka barang tes works
409,1,ukur gb isi data gb ajjh muat virus pakai mhl pas nyimpen fto nya kesimpen hilang smuaa nyesell bli
410,1,pesan warna hitam warna putih kecewa sesuai ekspektasi
411,1,uang d transfer dbatalin sedia harbolnas smp tanggal des kembali uang asli proses ribed kaco
412,1,dalem isi pas colok laptop langsung remuk flashdisknya wkwkwkwkwk top barang kau
413,1,barang nya bagus
414,1,sumpah kecewa banget lazada kemarin beli flashdisk pakai copy filenya muncul shortcutnya banding harga mahal
415,1,jual tolak pesan transfer nunggu minggu kembali dana selesai proses kali kirim gratis daerah jabodetabek judul tulis dipengaturanya phpin beli
416,1,data baca
417,1,otg nyah tida guna kalih
418,1,barang muas merah eh warna biru sesuai
419,1,duh sih ni toko pesan merah biru tolong bener konsumen parah banget
420,1,pesan bayar dikirm
421,1,kecewa lazada kirim lewat estimsi lazada batal email mes produk buruk lazada
422,1,status barang terima kemarin terima orang rumah terima barang kemarin rumah
423,1,barang
424,1,smart tvtapi keyboard nya ya operasi fungsi smart televisi tolong diresponssaya kecewa mesti ttp uang dongg beli keyboardnyakapokkk beli alat elektronik lazada permata elektronik
425,1,nya sih senang hardisk ehhh baca laptop pc untung nya return uang
426,1,warna salah kirim konfirmasi telpon bukti telepon garansi barang terima nomor segel nomor warranty stikerno waranty card warranty bentuk diberitahukan customer moga barang
427,1,barang ny rusak manding jadiin bonusmengecewakan
428,1,barang rusak file dalam baca
429,1,rekomendasi coba fungsi baca dipc laptop moga rugi
430,1,barang rusak jual copy data hilang tolong lazada jual bikin kecewa blokir bikin image lzada jelek
431,1,barang toko jarang nyampek astaghfirullah proses hati hati belanja
432,1,flesdis fungsi simpan foto baca nyimpel lagu baca video jual flesdis guna ni flesdis hati tipu tipu ni flesdis
433,1,paan flasdisknya bener fungsi mutu banget tipu akuu yah
434,1,gb gb nyampekkoq sih toko online lazada terima jual sungguh sayang
435,1,beli merk kapasitas gb palsu kapasitas asli gb
436,1,fd nya buka data pulangin
437,1,copy file formar ntfs banting
438,1,beli flash disk botol minum
439,1,produk jelek isi data video baca fake produk not rekomended
440,1,flashdisk rusak akses format malu toko
441,1,barang reject djual sih baca d pindah pc
442,1,usb rusak simpan data cek it kantor
443,1,flashdisk d pakaiisi mbkcwa bgtcasing tok bgus
444,1,cm buang uang brli pakai
445,1,pakai hari langsung rusak
446,1,balikin duit woooyyy pesan kirim charger hp
447,1,barang nya fungsi baca
448,1,kadang baca kadang
449,1,d pakai
450,1,barang jelek sesuai d isi file baca hilang
451,1,barang bagus sesuai kapasitas kecewa
452,1,wkwkwk udisk
453,1,pesan warna silver barang warna hitam
454,1,jualnnya ngesave
455,1,harga murah kualitas barang
456,1,flashdisk kau pakai copy fildm corupt
457,1,kapok beli dilazada flashdisk merek hp gb
458,1,pesan tanggal d kirim toko nya uang
459,1,flashdisknya sesuai pesan pakai mohon flashdisk rusak jual
460,1,tulis gb pas buka gb kecewa
461,1,ya harga sesuai kualitas mohon barang cek kirim kasihan beli gantung kunci
462,1,copy file format
463,1,nyala
464,1,otg nya pakai
465,1,produk menginstal
466,1,kecewa terima barang nya kabel otg berpungsirusak barang bekas ko jual
467,1,kirim estimasi senin feb pemberitahuan pesan batal pesan ubah schedule kirim tanggal feb sampai pas sabtu feb tinjau barang beli gb free gb sayang gb pakai dalam isi foto orang sidang skripsi serius jual kecewa kirim ubah status isi gb pakai format gb serius beli gb d cmn gb lazada tolong bantu seler dar cari murah kualitas
468,1,flashdisk gb format format nya
469,1,flashdisk gb baca mbak lihat screenshoot abal nih format
470,1,gb gb rb rugi pakai sma sekali
471,1,perangkat nya jelek kualitas nya bagus salin file file ya akses flashdisk buka alias korup tipu
472,1,trimakasih barang cepat packing nya rapi
473,1,kualitas bagus harga bohong not recommended
474,1,barang pakekiciwa
475,1,barang bener beda estimasi
476,1,flasdisk flasdisk buka isi filenya buang uang ae
477,1,tulis nya buy get kirim sungguh kecewa bohongin
478,1,barang terima packing bagus rapi pas tes mutar video menit mutar kualitas barang jelek
479,1,barang sesuai pesan
480,1,beli
481,1,pesan sesuai barangmesan sony gb kirim toshiba gb kecewacuma untungntya nih dagang
482,1,kecewa sesuai gambar
483,1,flasdisk zonk moga berkah ikhlas dunia akhirat tuk power bank bisala
484,1,isi mp hari besok format sesuai harga
485,1,x mes barang jual x batal pesan jual bayar batal pikir salah sistem pesan kali kombinasi jual jual alhasil pesan jual batal emang jual belanja online ribet refund
486,1,sekian bnyak barang beli lazada toko parah kirim estimasi barang kirim cacat bener bener cacat
487,1,nyaranin tuk bli barang jah kecewa
488,1,baguusss
489,1,payahhhgak sesuai gambarpesan flaskdisk merek toshiba merek hpkecewa banget
490,1,kecewa
491,1,beli
492,1,sedia ready barang kualitas bagus harga jangkau ayoo segea order kirim cepat ribet terimakasih
493,1,kualitas hdd jelek fungsi layak kecewa hdd jual bad sector
494,1,hard disk fungsi mohon direfund
495,1,hd bagus pakai iq error baca
496,1,barang kapasitas sesuai pesan detail barang lengkap
497,1,barang sesuai item mengecewakanwalo baca data video diputarselebihnya
498,1,jelek baca
499,1,beli warna biru kirim warna hitam
500,1,kabel
501,1,file dipindahin k flasdisk hilang pakai rugi
502,1,kapasitas giga sesuai gambar giga
503,1,flasdisk rusakerror barang rudak tolong jual
504,1,jelek banget bener kecewa fd nya corrupt mindahin file kali kecewa beli dilazada
505,1,barang mulus cepat d beli sesal
506,1,sih recognized file dimasukin corrupt mulu kali maksud buangbuang duit
507,1,flashdisknya error tukar gaa kecewa banget
508,1,psenan jelek komen kcewa
509,1,fungsi
510,1,flashdisknya rusak
511,1,flash diak rusak kecewa
512,1,barang sampah
513,1,barang corup
514,1,mini peluit trendy usb gb terima sesuai pesan terima kasih
515,1,mohon dibantusaya panik pakai harimuncul layar recovery tool cd driver data gb dalam back up sos bantu jual kotakom
516,1,baca filenya
517,1,koneknya
